"make","fuel-type","aspiration","num-of-doors","body-style","drive-wheels","engine-location","wheel-base","length","width","height","curb-weight","engine-type","num-of-cylinders","engine-size","fuel-system","stroke","compression-ratio","horsepower","peak-rpm","city-mpg","highway-mpg","price","symboling"
"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,3110,"ohc","four",92,"2bbl","3.03",9,"62","4800",27,32,8778,0
"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2081,"ohc","four",98,"2bbl","3.03",9,"70","4800",30,37,6938,0
"toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2109,"ohc","four",98,"2bbl","3.03",9,"70","4800",30,37,7198,0
"toyota","diesel","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2275,"ohc","four",110,"idi","3.35",22.5,"56","4500",34,36,7898,0
"toyota","diesel","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2275,"ohc","four",110,"idi","3.35",22.5,"56","4500",38,47,7788,0
"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,53,2094,"ohc","four",98,"2bbl","3.03",9,"70","4800",38,47,7738,0
"toyota","gas","std","four","hatchback","fwd","front",95.7,166.3,64.4,52.8,2122,"ohc","four",98,"2bbl","3.03",9,"70","4800",28,34,8358,0
"toyota","gas","std","four","sedan","fwd","front",95.7,166.3,64.4,52.8,2140,"ohc","four",98,"2bbl","3.03",9,"70","4800",28,34,9258,0
"toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2169,"ohc","four",98,"2bbl","3.03",9,"70","4800",29,34,8058,1
"toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2204,"ohc","four",98,"2bbl","3.03",9,"70","4800",29,34,8238,1
"toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2265,"dohc","four",98,"mpfi","3.08",9.4,"112","6600",26,29,9298,1
"toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc","four",98,"mpfi","3.08",9.4,"112","6600",26,29,9538,1
"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi","3.5",9.3,"116","4800",24,30,8449,2
"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",146,"mpfi","3.5",9.3,"116","4800",24,30,9639,2
"toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi","3.5",9.3,"116","4800",24,30,9989,2
"toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2326,"ohc","four",122,"mpfi","3.54",8.7,"92","4200",29,34,8948,-1
"toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2414,"ohc","four",122,"mpfi","3.54",8.7,"92","4200",27,32,9988,-1
"volkswagen","diesel","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2261,"ohc","four",97,"idi","3.4",23,"52","4800",37,46,7775,2
"volkswagen","gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi","3.4",9,"85","5250",27,34,7975,2
"volkswagen","diesel","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2264,"ohc","four",97,"idi","3.4",23,"52","4800",37,46,7995,2
"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi","3.4",9,"85","5250",27,34,8195,2
"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi","3.4",9,"85","5250",27,34,8495,2
"volkswagen","diesel","turbo","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2319,"ohc","four",97,"idi","3.4",23,"68","4500",37,42,9495,2
"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi","3.4",10,"100","5500",26,32,9995,2
"volkswagen","gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi","3.4",8.5,"90","5500",24,29,9980,3
